gene	term	evidence
064Ya	GO:0048149	IMP
10-4	GO:0008150	ND
14-3-3epsilon	GO:0000077	IMP
14-3-3epsilon	GO:0000077	TAS
14-3-3epsilon	GO:0007093	TAS
14-3-3epsilon	GO:0009314	TAS
14-3-3epsilon	GO:0007444	TAS
14-3-3epsilon	GO:0000077	IMP
14-3-3epsilon	GO:0007088	IMP
14-3-3epsilon	GO:0007294	IMP
14-3-3epsilon	GO:0008103	IMP
14-3-3epsilon	GO:0048190	IGI
14-3-3epsilon	GO:0045927	IMP
14-3-3epsilon	GO:0008340	IMP
14-3-3epsilon	GO:0009411	IMP
14-3-3epsilon	GO:0040008	IGI
14-3-3epsilon	GO:0042994	IMP
14-3-3epsilon	GO:0035332	IGI
14-3-3epsilon	GO:0007280	IMP
14-3-3epsilon	GO:0007411	IMP
14-3-3epsilon	GO:0046579	HGI
14-3-3zeta	GO:0120176	IGI
14-3-3zeta	GO:0008355	NAS
14-3-3zeta	GO:0007059	IMP
14-3-3zeta	GO:0045448	IMP
14-3-3zeta	GO:0007611	IMP
14-3-3zeta	GO:0007611	NAS
14-3-3zeta	GO:0007294	IGI
14-3-3zeta	GO:0008103	IGI
14-3-3zeta	GO:0050821	IDA
14-3-3zeta	GO:0050821	IMP
14-3-3zeta	GO:0006457	IDA
14-3-3zeta	GO:0006457	IMP
14-3-3zeta	GO:0040040	IMP
14-3-3zeta	GO:0042994	IMP
14-3-3zeta	GO:0035332	IGI
14-3-3zeta	GO:0046579	HGI
140up	GO:0007275	IMP
144Y	GO:0042332	IMP
161Y	GO:0042332	IMP
18w	GO:0009653	IMP
18w	GO:0007155	IDA
18w	GO:0006955	IEP
18w	GO:0019731	IMP
18w	GO:0048598	TAS
18w	GO:0006952	TAS
18w	GO:0019731	TAS
18w	GO:0007275	TAS
18w	GO:0019730	IMP
18w	GO:0007165	IEA
18w	GO:0007297	IMP
18w	GO:0030703	IMP
18w	GO:0003401	IGI
18w	GO:0060026	IGI
18w	GO:0007419	HMP
194-26	GO:0048477	IMP
2.1	GO:0008150	ND
20-51	GO:0048477	IMP
2033	GO:0001745	IMP
26-29-p	GO:0051603	IBA
26D19	GO:0016319	IMP
27-25	GO:0048477	IMP
29B70	GO:0016319	IMP
2D5	GO:0007474	IMP
2L-250-35	GO:0007350	IMP
2L0058	GO:0035001	IMP
2L0372	GO:0035149	IMP
2L0439	GO:0035001	IMP
2L1923	GO:0007430	IMP
2L2218	GO:0007430	IMP
2L2806	GO:0007430	IMP
2L2853	GO:0007430	IMP
2L3047	GO:0007430	IMP
2L3120	GO:0007430	IMP
2L3193	GO:0007430	IMP
2L3244	GO:0007430	IMP
2L3393	GO:0007430	IMP
2L3443	GO:0007430	IMP
2L4117	GO:0035149	IMP
2R-F	GO:0007475	IMP
2R-L	GO:0007475	IMP
2mit	GO:0007614	IMP
312	GO:0090071	IBA
312	GO:0017148	IBA
31B8	GO:0007298	IMP
3F43	GO:0008587	IMP
3L-215-13	GO:0030703	IMP
3L-B	GO:0007475	IMP
3N5	GO:0035220	IMP
3R-40-7	GO:0008362	IMP
3R-64-33	GO:0001700	IMP
3R-66-38	GO:0001700	IMP
3R-C	GO:0007475	IMP
4B7-11	GO:0007293	IMP
5-HT1A	GO:0007208	IDA
5-HT1A	GO:0007198	IDA
5-HT1A	GO:0007210	ISS
5-HT1A	GO:0007198	TAS
5-HT1A	GO:0007208	TAS
5-HT1A	GO:0045187	IMP
5-HT1A	GO:0007615	IDA
5-HT1A	GO:0007210	IDA
5-HT1A	GO:0008049	IMP
5-HT1A	GO:0002121	IMP
5-HT1A	GO:0007187	IBA
5-HT1A	GO:0007268	IBA
5-HT1B	GO:0007208	IDA
5-HT1B	GO:0007198	IDA
5-HT1B	GO:0007210	ISS
5-HT1B	GO:0007208	TAS
5-HT1B	GO:0007198	TAS
5-HT1B	GO:0009649	IMP
5-HT1B	GO:0007210	IDA
5-HT1B	GO:0007187	IBA
5-HT1B	GO:0007268	IBA
5-HT2A	GO:0007377	IMP
5-HT2A	GO:0007210	ISS
5-HT2A	GO:0007210	TAS
5-HT2A	GO:2000253	IMP
5-HT2A	GO:0007210	IMP
5-HT2A	GO:0007210	IDA
5-HT2A	GO:0007187	IBA
5-HT2A	GO:0007268	IBA
5-HT2B	GO:0007186	ISS
5-HT2B	GO:0007210	IDA
5-HT2B	GO:0007268	IBA
5-HT2B	GO:0007187	IBA
5-HT7	GO:0007210	ISS
5-HT7	GO:0007192	TAS
5-HT7	GO:0007619	IMP
5-HT7	GO:0060179	IMP
5-HT7	GO:0016546	IMP
5-HT7	GO:0016543	IMP
5-HT7	GO:0060180	IMP
5-HT7	GO:0016545	IMP
5-HT7	GO:0007210	IDA
5-HT7	GO:0007268	IBA
5-HT7	GO:0007187	IBA
5PtaseI	GO:0046856	IEA
5PtaseI	GO:0046855	IMP
5PtaseI	GO:0048016	IBA
5PtaseI	GO:0046855	IBA
5SrRNA:CR33353	GO:0006412	ISM
5SrRNA:CR33354	GO:0006412	ISM
5SrRNA:CR33355	GO:0006412	ISM
5SrRNA:CR33357	GO:0006412	ISM
5SrRNA:CR33358	GO:0006412	ISM
5SrRNA:CR33359	GO:0006412	ISM
5SrRNA:CR33360	GO:0006412	ISM
5SrRNA:CR33361	GO:0006412	ISM
5SrRNA:CR33362	GO:0006412	ISM
5SrRNA:CR33364	GO:0006412	ISM
5SrRNA:CR33365	GO:0006412	ISM
5SrRNA:CR33366	GO:0006412	ISM
5SrRNA:CR33367	GO:0006412	ISM
5SrRNA:CR33368	GO:0006412	ISM
5SrRNA:CR33369	GO:0006412	ISM
5SrRNA:CR33370	GO:0006412	ISM
5SrRNA:CR33372	GO:0006412	ISM
5SrRNA:CR33373	GO:0006412	ISM
5SrRNA:CR33374	GO:0006412	ISM
5SrRNA:CR33375	GO:0006412	ISM
5SrRNA:CR33376	GO:0006412	ISM
5SrRNA:CR33377	GO:0006412	ISM
5SrRNA:CR33378	GO:0006412	ISM
5SrRNA:CR33379	GO:0006412	ISM
5SrRNA:CR33380	GO:0006412	ISM
5SrRNA:CR33381	GO:0006412	ISM
5SrRNA:CR33382	GO:0006412	ISM
5SrRNA:CR33383	GO:0006412	ISM
5SrRNA:CR33384	GO:0006412	ISM
5SrRNA:CR33385	GO:0006412	ISM
5SrRNA:CR33386	GO:0006412	ISM
5SrRNA:CR33387	GO:0006412	ISM
5SrRNA:CR33388	GO:0006412	ISM
5SrRNA:CR33389	GO:0006412	ISM
5SrRNA:CR33390	GO:0006412	ISM
5SrRNA:CR33391	GO:0006412	ISM
5SrRNA:CR33392	GO:0006412	ISM
5SrRNA:CR33393	GO:0006412	ISM
5SrRNA:CR33394	GO:0006412	ISM
5SrRNA:CR33395	GO:0006412	ISM
5SrRNA:CR33396	GO:0006412	ISM
5SrRNA:CR33397	GO:0006412	ISM
5SrRNA:CR33398	GO:0006412	ISM
5SrRNA:CR33399	GO:0006412	ISM
5SrRNA:CR33400	GO:0006412	ISM
5SrRNA:CR33401	GO:0006412	ISM
5SrRNA:CR33402	GO:0006412	ISM
5SrRNA:CR33403	GO:0006412	ISM
5SrRNA:CR33404	GO:0006412	ISM
5SrRNA:CR33405	GO:0006412	ISM
5SrRNA:CR33406	GO:0006412	ISM
5SrRNA:CR33407	GO:0006412	ISM
5SrRNA:CR33408	GO:0006412	ISM
5SrRNA:CR33409	GO:0006412	ISM
5SrRNA:CR33410	GO:0006412	ISM
5SrRNA:CR33411	GO:0006412	ISM
5SrRNA:CR33412	GO:0006412	ISM
5SrRNA:CR33413	GO:0006412	ISM
5SrRNA:CR33414	GO:0006412	ISM
5SrRNA:CR33415	GO:0006412	ISM
5SrRNA:CR33417	GO:0006412	ISM
5SrRNA:CR33418	GO:0006412	ISM
5SrRNA:CR33419	GO:0006412	ISM
5SrRNA:CR33420	GO:0006412	ISM
5SrRNA:CR33421	GO:0006412	ISM
5SrRNA:CR33422	GO:0006412	ISM
5SrRNA:CR33423	GO:0006412	ISM
5SrRNA:CR33424	GO:0006412	ISM
5SrRNA:CR33425	GO:0006412	ISM
5SrRNA:CR33426	GO:0006412	ISM
5SrRNA:CR33427	GO:0006412	ISM
5SrRNA:CR33428	GO:0006412	ISM
5SrRNA:CR33429	GO:0006412	ISM
5SrRNA:CR33430	GO:0006412	ISM
5SrRNA:CR33431	GO:0006412	ISM
5SrRNA:CR33432	GO:0006412	ISM
5SrRNA:CR33433	GO:0006412	ISM
5SrRNA:CR33434	GO:0006412	ISM
5SrRNA:CR33435	GO:0006412	ISM
5SrRNA:CR33436	GO:0006412	ISM
5SrRNA:CR33437	GO:0006412	ISM
5SrRNA:CR33438	GO:0006412	ISM
5SrRNA:CR33439	GO:0006412	ISM
5SrRNA:CR33440	GO:0006412	ISM
5SrRNA:CR33441	GO:0006412	ISM
5SrRNA:CR33442	GO:0006412	ISM
5SrRNA:CR33443	GO:0006412	ISM
5SrRNA:CR33444	GO:0006412	ISM
5SrRNA:CR33445	GO:0006412	ISM
5SrRNA:CR33446	GO:0006412	ISM
5SrRNA:CR33447	GO:0006412	ISM
5SrRNA:CR33448	GO:0006412	ISM
5SrRNA:CR33449	GO:0006412	ISM
5SrRNA:CR33450	GO:0006412	ISM
5SrRNA:CR33451	GO:0006412	ISM
5SrRNA:CR33452	GO:0006412	ISM
7B2	GO:0010952	IDA
7B2	GO:0045862	IDA
7B2	GO:0007218	IEA
7SLRNA:CR32864	GO:0006614	ISS
825-Oak	GO:0008150	ND
82Y	GO:0042332	IMP
A122	GO:0007423	IGI
A122	GO:0007219	IGI
A16	GO:0008150	ND
AANAT1	GO:0006584	IDA
AANAT1	GO:0030431	TAS
AANAT1	GO:0042429	NAS
AANAT1	GO:0042420	NAS
AANAT1	GO:0046334	NAS
AANAT1	GO:0045187	TAS
AANAT1	GO:0048066	TAS
ABCA	GO:0055085	IEA
ABCA	GO:0006869	IBA
ABCB7	GO:0016226	ISS
ABCB7	GO:0015886	ISS
ABCB7	GO:0055085	IEA
ABCB7	GO:0006879	IBA
ACC	GO:0006633	IEA
ACC	GO:0000902	IMP
ACC	GO:0019432	IMP
ACC	GO:0005977	IMP
ACC	GO:0009744	IMP
ACC	GO:0071329	IDA
ACXA	GO:0007283	IEP
ACXA	GO:0009190	IEA
ACXA	GO:0007189	IBA
ACXB	GO:0007283	IEP
ACXB	GO:0009190	IEA
ACXB	GO:0007189	IBA
ACXC	GO:0007283	IEP
ACXC	GO:0009190	IEA
ACXC	GO:0007189	IBA
ACXD	GO:0009190	IEA
ACXD	GO:0007189	IBA
ACXE	GO:0009190	IEA
ACXE	GO:0007189	IBA
ADD1	GO:0070868	IMP
ADPS	GO:0055114	IEA
ADPS	GO:0008611	ISS
ADPS	GO:0008610	ISS
AGBE	GO:0008340	IMP
AGBE	GO:0005975	IBA
AGBE	GO:0005978	IBA
AGO1	GO:0030422	IMP
AGO1	GO:0030423	IMP
AGO1	GO:0016246	TAS
AGO1	GO:0035279	IMP
AGO1	GO:0035196	IMP
AGO1	GO:0007416	TAS
AGO1	GO:0006342	IMP
AGO1	GO:0035279	IDA
AGO1	GO:0035195	IMP
AGO1	GO:0007367	IGI
AGO1	GO:0007367	IGI
AGO1	GO:0006402	IGI
AGO1	GO:0006402	IMP
AGO1	GO:0036099	IMP
AGO1	GO:0090328	IMP
AGO1	GO:0046959	IMP
AGO1	GO:0030727	IMP
AGO1	GO:0007294	IMP
AGO1	GO:0017148	IMP
AGO2	GO:0030422	IDA
AGO2	GO:0030423	TAS
AGO2	GO:0016246	IMP
AGO2	GO:0016246	TAS
AGO2	GO:0035087	IMP
AGO2	GO:0035190	IMP
AGO2	GO:0007279	IMP
AGO2	GO:0007349	IMP
AGO2	GO:0016246	IDA
AGO2	GO:0016246	IDA
AGO2	GO:0016246	IMP
AGO2	GO:0035195	IMP
AGO2	GO:0051607	IMP
AGO2	GO:0016246	IMP
AGO2	GO:0033227	IMP
AGO2	GO:0016246	IMP
AGO2	GO:0007367	IGI
AGO2	GO:0035087	IDA
AGO2	GO:0030422	IMP
AGO2	GO:0010526	IMP
AGO2	GO:0045071	IMP
AGO2	GO:0070868	IMP
AGO2	GO:0051607	IMP
AGO2	GO:0051607	IMP
AGO2	GO:0009047	IGI
AGO2	GO:0035195	IMP
AGO2	GO:0051607	IMP
AGO2	GO:0098586	IMP
AGO2	GO:0016246	IMP
AGO3	GO:0035194	IMP
AGO3	GO:0060213	IMP
AGO3	GO:0010529	IMP
AIF	GO:0010623	IMP
AIF	GO:0042775	IMP
AIF	GO:0050832	IMP
AIMP1	GO:0006418	IBA
ALiX	GO:0030041	IMP
ALiX	GO:0046330	IDA
ALiX	GO:0043162	ISS
ALiX	GO:1990182	IMP
ALiX	GO:0000281	IMP
ALiX	GO:0048133	IMP
ALiX	GO:0048132	IMP
AMPKalpha	GO:0006468	ISS
AMPKalpha	GO:0007165	ISS
AMPKalpha	GO:0006468	NAS
AMPKalpha	GO:0006468	IMP
AMPKalpha	GO:0000278	IMP
AMPKalpha	GO:0045197	IMP
AMPKalpha	GO:0001558	IMP
AMPKalpha	GO:0044058	IMP
AMPKalpha	GO:0006629	IMP
AMPKalpha	GO:0009267	IMP
AMPKalpha	GO:0042595	IMP
AMPKalpha	GO:0030730	IMP
AMPKalpha	GO:1902669	IGI
AMPKalpha	GO:0048813	IMP
AMPKalpha	GO:0045792	IMP
AMPKalpha	GO:1904262	IMP
AMPKalpha	GO:0006468	IBA
AMPKalpha	GO:0042149	IBA
AMPKalpha	GO:0035556	IBA
AMPKalpha	GO:0032007	IBA
AMPdeam	GO:0032264	IEA
AOX1	GO:0055114	IEA
AOX1	GO:0042817	IMP
AOX1	GO:0009115	IBA
AOX2	GO:0006081	IMP
AOX2	GO:0055114	IMP
AOX2	GO:0009115	IBA
AOX3	GO:0055114	IEA
AOX3	GO:0006117	IMP
AOX3	GO:0009115	IBA
AOX4	GO:0055114	IEA
AOX4	GO:0006081	ISS
AOX4	GO:0009115	IBA
AP-1-2beta	GO:0016192	IC
AP-1-2beta	GO:0016192	IEA
AP-1-2beta	GO:0006886	IEA
AP-1-2beta	GO:0048749	IMP
AP-1-2beta	GO:0010508	IMP
AP-1gamma	GO:0006886	IEA
AP-1gamma	GO:0035652	IMP
AP-1gamma	GO:0033363	IMP
AP-1gamma	GO:0048749	IMP
AP-1mu	GO:0006886	IEA
AP-1mu	GO:0016192	ISS
AP-1mu	GO:0045746	IGI
AP-1mu	GO:2001136	IMP
AP-1mu	GO:0045746	IGI
AP-1mu	GO:0045746	IGI
AP-1mu	GO:0033363	IMP
AP-1mu	GO:0048749	IMP
AP-1mu	GO:0046907	IMP
AP-1sigma	GO:0006886	IEA
AP-1sigma	GO:0016192	ISS
AP-1sigma	GO:0048749	IMP
AP-1sigma	GO:0046907	IMP
AP-1sigma	GO:0042051	IMP
AP-1sigma	GO:0007411	IMP
AP-2alpha	GO:0048488	IDA
AP-2alpha	GO:0015031	IDA
AP-2alpha	GO:0048489	TAS
AP-2alpha	GO:0006886	IEA
AP-2alpha	GO:0072583	IEA
AP-2alpha	GO:0008356	TAS
AP-2alpha	GO:0045807	IMP
AP-2alpha	GO:0008104	IMP
AP-2alpha	GO:0030100	IDA
AP-2alpha	GO:0006897	IMP
AP-2alpha	GO:0030707	IMP
AP-2alpha	GO:0010508	IMP
AP-2alpha	GO:1990386	IMP
AP-2mu	GO:0006886	IEA
AP-2mu	GO:0033227	IMP
AP-2mu	GO:0006897	IMP
AP-2sigma	GO:0006886	IEA
AP-2sigma	GO:0006897	IMP
APC10	GO:0031145	IEA
APC10	GO:0007113	IGI
APC10	GO:0000278	HMP
APC10	GO:2000736	IMP
APC10	GO:0070979	IBA
APC4	GO:0031145	ISS
APC4	GO:0030163	IDA
APC4	GO:0045842	IBA
APC4	GO:0070979	IBA
APC4	GO:0031145	IBA
APC7	GO:0045842	IGI
APP-BP1	GO:0045116	ISS
APP-BP1	GO:0045116	IMP
APP-BP1	GO:0045116	ISS
APP-BP1	GO:0045116	IDA
APP-BP1	GO:0045116	IBA
ARY	GO:0055114	IEA
ASPP	GO:0061098	IGI
ATP6AP2	GO:0015991	ISS
ATP6AP2	GO:0035317	IMP
ATP6AP2	GO:0001736	IGI
ATP6AP2	GO:0035317	IMP
ATP6AP2	GO:0001737	IMP
ATP6AP2	GO:0048104	IMP
ATP6AP2	GO:0016197	IMP
ATP6AP2	GO:0090251	IMP
ATP6AP2	GO:0042331	IMP
ATP6AP2	GO:0007614	IMP
ATP6AP2	GO:0098930	IMP
ATP6AP2	GO:0048749	IMP
ATP6AP2	GO:0050808	IMP
ATP6AP2	GO:0007616	IMP
ATP7	GO:0006878	IMP
ATP7	GO:0048066	IMP
ATP7	GO:0048085	IMP
ATP7	GO:0002164	IMP
ATP7	GO:0055065	IMP
ATP7	GO:0055070	IMP
ATP7	GO:0060003	IBA
ATP7	GO:0006878	IBA
ATP8A	GO:0045332	ISS
ATP8A	GO:0045332	IBA
ATP8B	GO:0050911	IMP
ATP8B	GO:0032880	IMP
ATP8B	GO:0045332	ISS
ATP8B	GO:0045332	IBA
ATP8B	GO:0007030	IBA
ATPCL	GO:0006101	IEA
ATPCL	GO:0042593	IMP
ATPCL	GO:0006085	IBA
ATPCL	GO:0006633	IBA
ATPsynB	GO:1902600	ISS
ATPsynB	GO:0015986	ISS
ATPsynB	GO:0015986	IBA
ATPsynC	GO:1902600	ISS
ATPsynC	GO:1902600	ISS
ATPsynC	GO:1902600	ISS
ATPsynC	GO:0015991	IEA
ATPsynC	GO:0015986	ISS
ATPsynC	GO:0015986	IBA
ATPsynCF6	GO:1902600	ISS
ATPsynCF6	GO:0015986	IEA
ATPsynCF6L	GO:0015986	IEA
ATPsynCF6L	GO:0046034	ISS
ATPsynD	GO:1902600	ISS
ATPsynD	GO:0015986	ISS
ATPsynD	GO:0008340	IMP
ATPsynD	GO:0032007	IMP
ATPsynD	GO:0046034	IMP
ATPsynD	GO:0070373	IMP
ATPsynD	GO:0006979	IMP
ATPsynD	GO:0051881	IMP
ATPsynD	GO:0015986	IBA
ATPsynE	GO:1902600	ISS
ATPsynE	GO:0015986	ISS
ATPsynF	GO:1902600	ISS
ATPsynG	GO:1902600	ISS
ATPsynG	GO:0015986	ISS
ATPsynG	GO:0015986	IBA
ATPsynGL	GO:0046034	ISS
ATPsynGL	GO:0015986	ISS
ATPsynGL	GO:0015986	IBA
ATPsynO	GO:1902600	ISS
ATPsynO	GO:0042776	ISS
ATPsynbeta	GO:1902600	ISS
ATPsynbeta	GO:0015986	ISS
ATPsynbetaL	GO:1902600	ISS
ATPsynbetaL	GO:0015986	ISS
ATPsynbetaL	GO:0008340	IMP
ATPsynbetaL	GO:0010155	IMP
ATPsynbetaL	GO:0048515	IMP
ATPsyndelta	GO:1902600	ISS
ATPsyndelta	GO:0015986	ISS
ATPsyndelta	GO:0015986	IBA
ATPsynepsilonL	GO:1902600	ISS
ATPsynepsilonL	GO:0015986	ISS
ATPsyngamma	GO:1902600	ISS
ATPsyngamma	GO:0015986	ISS
ATPsyngamma	GO:0006754	IBA
ATPsyngamma	GO:0015986	IBA
ATbp	GO:0006355	IDA
ATbp	GO:0006351	IDA
ATbp	GO:0006357	ISS
ATbp	GO:0045944	IDA
Aasdh	GO:0006631	ISS
Aatf	GO:0048477	IMP
Aatf	GO:0043069	IMP
Abd-B	GO:0035224	IEP
Abd-B	GO:0007506	IMP
Abd-B	GO:0008354	IMP
Abd-B	GO:0007280	TAS
Abd-B	GO:0008354	TAS
Abd-B	GO:0035277	IMP
Abd-B	GO:0007494	TAS
Abd-B	GO:0007385	NAS
Abd-B	GO:0035215	TAS
Abd-B	GO:0045705	TAS
Abd-B	GO:0048071	TAS
Abd-B	GO:1902339	IMP
Abd-B	GO:0007379	IMP
Abd-B	GO:0009997	IMP
Abd-B	GO:0045843	IMP
Abd-B	GO:0007484	TAS
Abd-B	GO:0048066	NAS
Abd-B	GO:0048087	NAS
Abd-B	GO:0007548	NAS
Abd-B	GO:0045705	TAS
Abd-B	GO:0007507	NAS
Abd-B	GO:0048071	TAS
Abd-B	GO:0007431	NAS
Abd-B	GO:0007506	IMP
Abd-B	GO:0008584	IMP
Abd-B	GO:0035225	IMP
Abd-B	GO:0035263	IMP
Abd-B	GO:0035261	IMP
Abd-B	GO:0030539	IMP
Abd-B	GO:0030540	IMP
Abd-B	GO:0045944	IDA
Abd-B	GO:0048094	IDA
Abd-B	GO:0007385	IMP
Abd-B	GO:0007424	IMP
Abd-B	GO:0007486	IMP
Abd-B	GO:0007385	IMP
Abd-B	GO:0061101	IMP
Abd-B	GO:0045944	IMP
Abd-B	GO:0007621	IMP
Abd-B	GO:0046693	IMP
Abi	GO:0045860	IDA
Abi	GO:0008360	IMP
Abi	GO:0030866	IMP
Abi	GO:0030031	IMP
Abi	GO:0008154	IEA
Abi	GO:0022416	IMP
Abi	GO:0030036	IMP
Abi	GO:0030032	IMP
Abi	GO:0007155	IMP
Abi	GO:0016203	IMP
Abi	GO:0030036	IMP
Abi	GO:0007528	IGI
Abi	GO:0021955	IMP
Abi	GO:0000902	IMP
Abi	GO:0033627	IMP
Abi	GO:0007030	IMP
Abi	GO:0048846	IMP
Abi	GO:0048477	IMP
Abi	GO:0051495	IMP
Abi	GO:0048477	IMP
Abi	GO:0032956	IMP
Abi	GO:0072499	IMP
Abi	GO:0051491	IMP
Abi	GO:0060269	IMP
Abi	GO:0042247	IMP
Abi	GO:0051496	IMP
Abl	GO:0007417	IGI
Abl	GO:0007411	IGI
Abl	GO:0018108	IDA
Abl	GO:0007409	IGI
Abl	GO:0046777	IDA
Abl	GO:0007611	IMP
Abl	GO:0021785	IMP
Abl	GO:0007268	IMP
Abl	GO:0007411	IMP
Abl	GO:0007411	IMP
Abl	GO:0007411	IGI
Abl	GO:0006468	NAS
Abl	GO:0007391	IMP
Abl	GO:0003382	IMP
Abl	GO:0007391	NAS
Abl	GO:0008360	NAS
Abl	GO:0002009	NAS
Abl	GO:0008064	TAS
Abl	GO:0007411	IMP
Abl	GO:0016199	IMP
Abl	GO:0048813	IMP
Abl	GO:0008360	IMP
Abl	GO:0007370	IMP
Abl	GO:0008045	IMP
Abl	GO:0032880	IDA
Abl	GO:0018108	IMP
Abl	GO:0031647	IMP
Abl	GO:0007419	IGI
Abl	GO:0007411	IMP
Abl	GO:0018108	IDA
Abl	GO:0046827	IMP
Abl	GO:0007419	IMP
Abl	GO:0048749	IGI
Abl	GO:0072499	IGI
Abl	GO:0072499	IMP
Abl	GO:0007303	IMP
Abl	GO:0045886	IMP
Abl	GO:0007411	IMP
Abl	GO:0001764	IMP
Abl	GO:0003401	IMP
Abl	GO:0010592	IMP
Abl	GO:0010977	IMP
Abl	GO:0038083	IBA
Abl	GO:0042127	IBA
Abl	GO:0030154	IBA
Abp1	GO:0016477	IDA
Abp1	GO:0022416	IMP
Abp1	GO:0045887	IMP
Abp1	GO:0072553	IMP
Ac13E	GO:0009190	IEA
Ac13E	GO:0007189	IBA
Ac3	GO:0045475	IMP
Ac3	GO:0007623	IMP
Ac3	GO:0007189	IBA
Ac3	GO:0006171	IBA
Ac76E	GO:0006171	IEA
Ac76E	GO:0002165	IMP
Ac76E	GO:0042594	IDA
Ac76E	GO:0040015	IMP
Ac76E	GO:0007189	IBA
Ac78C	GO:0009744	IDA
Ac78C	GO:0010353	IDA
Ac78C	GO:0001582	IMP
Ac78C	GO:0031000	IDA
Ac78C	GO:0007623	IMP
Ac78C	GO:0006171	IBA
Ac78C	GO:0007189	IBA
AcCoAS	GO:0019427	IEA
AcCoAS	GO:0048149	IMP
AcCoAS	GO:0006633	TAS
Acam	GO:0030048	IC
Acam	GO:0019722	IBA
Acam	GO:0051300	IBA
Acbp2	GO:0042049	ISS
Ace	GO:0042331	IMP
Ace	GO:0006581	IMP
Ace	GO:0042426	IDA
Ace	GO:0006581	IDA
Ace	GO:0007268	IMP
Ace	GO:0001507	IEA
Acer	GO:0006508	TAS
Acer	GO:0007507	IMP
Acer	GO:0006508	IEA
Acer	GO:0030431	IMP
Acer	GO:0007507	IMP
Acer	GO:0045938	IMP
Acer	GO:0002027	IMP
Acer	GO:0003007	IMP
Acf	GO:0006334	IDA
Acf	GO:0006355	IDA
Acf	GO:0016584	IDA
Acf	GO:0006334	IDA
Acf	GO:0042766	IDA
Acf	GO:0043462	IDA
Acf	GO:0031497	IDA
Acf	GO:0006333	TAS
Acf	GO:0042766	TAS
Acf	GO:0007399	IMP
Acf	GO:0045892	IMP
Acf	GO:0031445	IMP
Achl	GO:0010629	IMP
Ack	GO:0006468	NAS
Ack	GO:0018108	IDA
Ack	GO:0006468	IDA
Ack	GO:0007391	IMP
Ack	GO:0007391	IGI
Ack	GO:0007291	IMP
Ack	GO:0043066	IGI
Ack	GO:0034613	IMP
Ack	GO:0007286	IMP
Ack	GO:0018108	IDA
Ack	GO:0035331	IMP
Ack	GO:0038083	IBA
Ack	GO:0042127	IBA
Ack	GO:0030154	IBA
Ack-like	GO:0006468	ISS
Ack-like	GO:0006468	NAS
Ack-like	GO:0006468	NAS
Ack-like	GO:0006468	IEA
Ack-like	GO:0007391	IGI
Acn	GO:0006915	ISS
Acn	GO:0000398	IC
Acn	GO:0010506	IMP
Acn	GO:0000335	IMP
Acn	GO:0008380	IMP
Acn	GO:0010506	IMP
Acox57D-d	GO:0006635	ISS
Acox57D-d	GO:0055088	IBA
Acox57D-d	GO:0033540	IBA
Acox57D-p	GO:0006635	ISS
Acox57D-p	GO:0055088	IBA
Acox57D-p	GO:0033540	IBA
Acp24A4	GO:0032504	HEP
Acp26Aa	GO:0018991	TAS
Acp26Aa	GO:0045297	NAS
Acp26Aa	GO:0032504	IEP
Acp26Aa	GO:0048042	TAS
Acp26Aa	GO:0030728	TAS
Acp26Aa	GO:0046692	TAS
Acp26Aa	GO:0030728	TAS
Acp26Aa	GO:0048042	TAS
Acp26Aa	GO:0030728	TAS
Acp26Aa	GO:0018991	TAS
Acp26Aa	GO:0030728	TAS
Acp26Aa	GO:0007618	IEA
Acp26Aa	GO:0030728	IMP
Acp26Aa	GO:0032504	HEP
Acp26Aa	GO:0032504	HEP
Acp26Aa	GO:0032504	HEP
Acp26Ab	GO:0032504	IEP
Acp26Ab	GO:0007617	IEA
Acp26Ab	GO:0032504	HEP
Acp26Ab	GO:0032504	HEP
Acp26Ab	GO:0032504	HEP
Acp29AB	GO:0046692	TAS
Acp29AB	GO:0032504	HEP
Acp29AB	GO:0032504	HEP
Acp29AB	GO:0046693	IMP
Acp29AB	GO:0046692	IMP
Acp32CD	GO:0045434	NAS
Acp32CD	GO:0032504	IEP
Acp32CD	GO:0032504	HEP
Acp33A	GO:0045434	NAS
Acp33A	GO:0032504	HEP
Acp33A	GO:0032504	HEP
Acp33A	GO:0032504	HEP
Acp36DE	GO:0045434	NAS
Acp36DE	GO:0046693	TAS
Acp36DE	GO:0046693	IMP
Acp36DE	GO:0032504	IEP
Acp36DE	GO:0042628	TAS
Acp36DE	GO:0046693	TAS
Acp36DE	GO:0046692	TAS
Acp36DE	GO:0046693	TAS
Acp36DE	GO:0046693	TAS
Acp36DE	GO:0046693	IMP
Acp36DE	GO:0032504	HEP
Acp36DE	GO:0032504	HEP
Acp36DE	GO:0032504	HEP
Acp36DE	GO:0046693	IMP
Acp36DE	GO:0046692	IDA
Acp53C14a	GO:0032504	HEP
Acp53C14a	GO:0032504	HEP
Acp53C14b	GO:0032504	HEP
Acp53C14b	GO:0032504	HEP
Acp53C14c	GO:0032504	HEP
Acp53Ea	GO:0046692	TAS
Acp53Ea	GO:0032504	HEP
Acp53Ea	GO:0032504	HEP
Acp53Ea	GO:0032504	HEP
Acp53Eb	GO:0007321	NAS
Acp54A1	GO:0032504	NAS
Acp62F	GO:0045861	IDA
